epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4011610150337219,1.7151212692260742,1e-04,0.5876834988594055,1.2594596147537231
1,0.586414098739624,1.1227154731750488,1e-04,0.6105220317840576,1.2047243118286133
2,0.6347897052764893,0.9891700744628906,1e-04,0.6353996992111206,1.1626776456832886
3,0.6753233671188354,0.8946871161460876,1e-04,0.6398857831954956,1.1577633619308472
4,0.6883593201637268,0.8630993366241455,1e-04,0.6574224829673767,1.0918231010437012
5,0.6984418034553528,0.830471932888031,1e-04,0.6643556356430054,1.073482632637024
6,0.7107648253440857,0.8052114844322205,1e-04,0.6831158399581909,1.0177596807479858
7,0.7189123034477234,0.7847282886505127,1e-04,0.670880913734436,1.0264583826065063
8,0.721051037311554,0.7587864398956299,1e-04,0.6814845204353333,1.0077522993087769
9,0.728892982006073,0.7469789385795593,1e-04,0.6929037570953369,0.9797544479370117
10,0.7249210476875305,0.7512075304985046,1e-04,0.6973899006843567,0.9495612382888794
11,0.7350035905838013,0.7082757949829102,1e-04,0.6973899006843567,0.9630603790283203
12,0.7363275289535522,0.7252248525619507,1e-04,0.6941272616386414,0.9638147354125977
13,0.742234468460083,0.6878512501716614,1e-04,0.6994290351867676,0.9389207363128662
14,0.7455952763557434,0.6748700737953186,1e-04,0.6941272616386414,0.9497476816177368
15,0.7479376792907715,0.6854827404022217,1e-04,0.6961663961410522,0.9268069863319397
16,0.7503818869590759,0.6792398691177368,1e-04,0.7043229937553406,0.9238134026527405
17,0.751400351524353,0.6688671708106995,1e-04,0.7047308087348938,0.9151248931884766
18,0.7537427544593811,0.6406593918800354,1e-04,0.710440456867218,0.8879486322402954
19,0.758223831653595,0.6584846377372742,1e-04,0.7030994892120361,0.9091618657112122
20,0.7551685571670532,0.644025444984436,1e-04,0.6949428915977478,0.9268635511398315
21,0.7526224851608276,0.6440410017967224,1e-04,0.7092169523239136,0.9176682829856873
22,0.7646399736404419,0.6164442896842957,5e-05,0.7079934477806091,0.9058663845062256
23,0.7703431844711304,0.6017053723335266,5e-05,0.7124795913696289,0.8912001252174377
24,0.7637233734130859,0.6215440034866333,5e-05,0.7071778178215027,0.9011515974998474
25,0.7676953077316284,0.5947222709655762,2.5e-05,0.7075856328010559,0.8991751074790955
26,0.766065776348114,0.5935855507850647,2.5e-05,0.7071778178215027,0.9051602482795715
27,0.7667787075042725,0.5998934507369995,2.5e-05,0.7071778178215027,0.9093795418739319
28,0.7686118483543396,0.5840166807174683,1.25e-05,0.710440456867218,0.9038020968437195
29,0.7692229151725769,0.5887377858161926,1.25e-05,0.7132952809333801,0.8950775861740112
